rank,feature,importance,importance_percentage
1,ext_source_mean,0.107632674,10.763266
2,name_education_type,0.067293435,6.729343
3,code_gender,0.046161167,4.6161165
4,name_income_type,0.03984908,3.9849076
5,name_family_status,0.03487923,3.4879227
6,flag_own_car,0.033615574,3.361557
7,ext_source_3,0.032661773,3.266177
8,name_housing_type,0.027379358,2.7379355
9,name_type_suite,0.021832168,2.1832166
10,ext_source_2,0.02000211,2.0002108
11,installment_late_payment_rate,0.018971376,1.8971374
12,name_contract_type,0.018852603,1.8852601
13,credit_card_avg_utilization,0.017847832,1.784783
14,previous_refusal_rate,0.017248077,1.7248075
15,employment_years,0.015824007,1.5824006
16,flag_document_3,0.014789234,1.4789232
17,pos_cash_loan_count,0.013899888,1.3899887
18,previous_avg_credit_application_ratio,0.0137328245,1.3732823
19,credit_card_max_utilization,0.012323831,1.2323829
20,credit_card_avg_balance,0.012261768,1.2261766
21,flag_own_realty,0.011862984,1.1862983
22,age_years,0.01133964,1.133964
23,amt_goods_price,0.011101577,1.1101576
24,ext_source_1,0.010471555,1.0471555
25,amt_credit,0.010469757,1.0469756
26,def_60_cnt_social_circle,0.010121491,1.012149
27,def_30_cnt_social_circle,0.010010775,1.0010774
28,pos_cash_active_count,0.009639437,0.96394366
29,installment_previous_loans,0.009572017,0.9572016
30,region_rating_client_w_city,0.00943881,0.9438809
31,installment_avg_payment_ratio,0.009397043,0.9397042
32,previous_approval_rate,0.0091383485,0.91383475
33,pos_cash_history_months,0.009022906,0.9022905
34,installment_total_underpayment,0.0088669425,0.88669413
35,previous_avg_annuity,0.008866286,0.8866285
36,days_birth,0.00874373,0.87437296
37,amt_annuity,0.008700453,0.8700452
38,installment_max_payment_delay,0.008670219,0.8670218
39,bureau_active_accounts,0.008666046,0.8666045
40,previous_refused_count,0.0086280815,0.86280805
41,bureau_total_debt,0.008288817,0.82888156
42,bureau_avg_days_credit,0.008011722,0.80117214
43,installment_total_records,0.007946812,0.7946811
44,bureau_closed_accounts,0.0077183833,0.77183825
45,days_employed,0.0076561947,0.7656194
46,pos_cash_completed_count,0.0075845215,0.75845206
47,annuity_to_income_ratio,0.0075029726,0.7502972
48,bureau_total_credit,0.007224299,0.7224298
49,credit_to_income_ratio,0.007145624,0.7145623
50,bureau_total_overdue,0.007131496,0.7131495
51,region_rating_client,0.0070614577,0.7061457
52,previous_avg_credit_amount,0.0068952963,0.68952954
53,installment_late_payment_count,0.0067453417,0.6745341
54,credit_card_avg_limit,0.0067431545,0.67431533
55,installment_avg_payment_delay,0.006439741,0.643974
56,days_last_phone_change,0.006420235,0.64202344
57,pos_cash_avg_dpd,0.0061807167,0.61807156
58,previous_approved_count,0.006071767,0.6071766
59,previous_avg_application_amount,0.0060151783,0.60151774
60,credit_card_dpd_30_count,0.005972063,0.59720623
61,bureau_total_accounts,0.005917013,0.5917012
62,obs_60_cnt_social_circle,0.005903071,0.590307
63,pos_cash_max_dpd,0.0057710875,0.5771087
64,pos_cash_dpd_rate,0.005621581,0.56215805
65,cnt_children,0.005576656,0.5576656
66,previous_avg_credit_to_current_income_ratio,0.005556032,0.55560315
67,amt_income_total,0.005513624,0.55136234
68,previous_total_applications,0.005387596,0.5387595
69,credit_card_avg_dpd,0.005110741,0.51107407
70,pos_cash_dpd_30_count,0.005031507,0.50315064
71,obs_30_cnt_social_circle,0.004995869,0.49958685
72,credit_card_dpd_rate,0.004954157,0.49541566
73,income_per_family_member,0.0049357233,0.4935723
74,bureau_max_overdue,0.004796376,0.47963756
75,cnt_fam_members,0.004387253,0.43872526
76,credit_card_count,0.0,0.0
