feature,importance
numeric__ext_source_3,0.033076674
numeric__ext_source_2,0.027741909
categorical__name_education_type_Higher education,0.0131009715
categorical__code_gender_M,0.013030344
categorical__code_gender_F,0.012819639
numeric__installment_late_payment_rate,0.011242493
numeric__ext_source_1,0.009918358
numeric__credit_card_avg_utilization,0.009326867
numeric__flag_document_3,0.009235738
categorical__name_income_type_Working,0.008307855
numeric__previous_refusal_rate,0.008134408
numeric__reg_city_not_live_city,0.007876855
numeric__credit_card_avg_balance,0.007777784
categorical__flag_own_car_Y,0.007573772
numeric__pos_cash_loan_count,0.007481929
numeric__bureau_avg_days_credit,0.007394988
numeric__previous_avg_credit_application_ratio,0.0070305066
categorical__name_education_type_Secondary / secondary special,0.0069420896
numeric__installment_total_paid,0.006896942
categorical__flag_own_car_N,0.0068835504
numeric__pos_cash_max_future_installments,0.006573482
categorical__name_family_status_Married,0.006440725
numeric__def_60_cnt_social_circle,0.006283659
numeric__pos_cash_max_installments,0.006240826
categorical__occupation_type_Sales staff,0.0062132566
numeric__days_birth,0.006090614
numeric__credit_card_active_count,0.0059609865
numeric__own_car_age,0.005751008
numeric__installment_on_time_or_early_rate,0.0057377536
categorical__name_income_type_Pensioner,0.005734302
numeric__amt_goods_price,0.0055765607
numeric__region_rating_client_w_city,0.0055603036
categorical__name_contract_type_Cash loans,0.005396957
numeric__credit_card_max_utilization,0.005360496
categorical__name_contract_type_Revolving loans,0.0053318245
numeric__pos_cash_history_months,0.005331335
categorical__occupation_type_Core staff,0.005222078
numeric__bureau_avg_credit,0.0051805587
numeric__amt_credit,0.0050990824
numeric__pos_cash_avg_future_installments,0.0050495304
numeric__days_employed,0.005041477
categorical__occupation_type_Low-skill Laborers,0.004735115
numeric__installment_total_underpayment,0.0046995166
numeric__pos_cash_avg_remaining_ratio,0.0046860967
categorical__organization_type_Military,0.004649806
categorical__housetype_mode_block of flats,0.0046377843
numeric__def_30_cnt_social_circle,0.004616664
numeric__installment_max_payment_delay,0.00460263
numeric__bureau_total_credit,0.0045662844
numeric__pos_cash_dpd_def_rate,0.0045479117
numeric__bureau_avg_debt,0.004492068
numeric__previous_refused_count,0.004489494
numeric__amt_annuity,0.0044422904
numeric__previous_avg_installments,0.0044309935
numeric__flag_document_16,0.0042340467
numeric__installment_avg_payment,0.0042261886
categorical__name_housing_type_Rented apartment,0.00421308
numeric__credit_card_max_balance,0.0041694185
categorical__organization_type_Trade: type 2,0.0041189315
numeric__floorsmax_medi,0.004075164
numeric__flag_document_11,0.0040277313
numeric__credit_card_max_installments_mature,0.004020675
numeric__amt_req_credit_bureau_qrt,0.0040072426
numeric__flag_document_13,0.003972917
categorical__occupation_type_Unknown,0.0039275996
numeric__bureau_max_credit_overdue,0.003925011
numeric__installment_avg_payment_ratio,0.0039221
numeric__floorsmax_avg,0.0039189267
numeric__previous_approval_rate,0.0039082207
categorical__occupation_type_Laborers,0.0039052446
categorical__organization_type_Construction,0.0038766728
numeric__floorsmin_mode,0.0038766072
numeric__amt_req_credit_bureau_day,0.0038069603
numeric__credit_card_avg_limit,0.003795519
numeric__credit_card_history_months,0.0037695982
numeric__bureau_total_overdue,0.0037554507
categorical__organization_type_Security Ministries,0.0037529569
categorical__organization_type_Industry: type 9,0.0037495636
categorical__emergencystate_mode_Unknown,0.0037389614
numeric__installment_total_records,0.0037039784
categorical__name_income_type_State servant,0.0036941492
categorical__wallsmaterial_mode_Panel,0.0036737646
categorical__organization_type_Self-employed,0.003671266
categorical__name_housing_type_Municipal apartment,0.003666314
numeric__previous_avg_annuity,0.003642629
categorical__organization_type_Transport: type 3,0.0036395937
numeric__flag_document_18,0.003635665
numeric__region_rating_client,0.0036133255
categorical__occupation_type_Drivers,0.003510029
numeric__bureau_total_debt,0.0034913532
numeric__flag_document_14,0.0034461762
numeric__credit_card_total_drawings,0.0034294915
numeric__pos_cash_avg_installment_progress,0.0033972182
categorical__organization_type_Realtor,0.0033725894
numeric__previous_contract_type_count,0.003370406
numeric__pos_cash_active_count,0.0033697183
numeric__credit_card_total_atm_drawings,0.0033573403
numeric__days_id_publish,0.0033566672
numeric__installment_late_payment_count,0.0033425451
categorical__organization_type_School,0.0033127032
categorical__weekday_appr_process_start_SUNDAY,0.0032762405
categorical__organization_type_Agriculture,0.0032464727
numeric__days_last_phone_change,0.003241989
numeric__installment_total_amount,0.0032377911
numeric__flag_work_phone,0.0032013124
categorical__organization_type_Bank,0.0031968947
categorical__name_education_type_Academic degree,0.0031941188
numeric__credit_card_dpd_def_count,0.0031553595
categorical__wallsmaterial_mode_Monolithic,0.0031159597
categorical__name_housing_type_House / apartment,0.00309479
numeric__previous_avg_down_payment,0.003091331
numeric__credit_card_total_payment,0.0030894324
numeric__years_beginexpluatation_mode,0.0030864622
categorical__wallsmaterial_mode_Others,0.0030710574
categorical__organization_type_Trade: type 3,0.003067446
numeric__apartments_medi,0.0030449268
numeric__years_build_mode,0.0030132944
categorical__organization_type_Hotel,0.0030062338
numeric__obs_60_cnt_social_circle,0.0029847575
numeric__floorsmin_medi,0.0029812246
numeric__apartments_mode,0.0029718417
numeric__amt_req_credit_bureau_week,0.002945528
numeric__pos_cash_dpd_30_count,0.0029414974
numeric__credit_card_dpd_rate,0.0029360596
numeric__livingarea_avg,0.0029349132
categorical__emergencystate_mode_Yes,0.0029228383
categorical__name_type_suite_Children,0.0029108967
numeric__entrances_medi,0.0029073686
numeric__pos_cash_avg_installments,0.0028984607
numeric__region_population_relative,0.0028975822
numeric__installment_previous_loans,0.0028771358
numeric__credit_card_dpd_count,0.0028731467
numeric__livingarea_medi,0.0028695774
numeric__credit_card_total_pos_drawings,0.0028630758
numeric__installment_min_payment_ratio,0.0028515444
categorical__name_type_suite_Unknown,0.0028503556
numeric__nonlivingapartments_medi,0.0028417103
numeric__floorsmax_mode,0.0028336
numeric__years_beginexpluatation_medi,0.0028283352
numeric__totalarea_mode,0.0028152978
categorical__occupation_type_Accountants,0.0028008649
numeric__elevators_mode,0.002800735
numeric__livingarea_mode,0.0027960557
categorical__fondkapremont_mode_reg oper spec account,0.0027912755
categorical__fondkapremont_mode_org spec account,0.0027699934
categorical__weekday_appr_process_start_SATURDAY,0.0027680113
numeric__credit_card_avg_payment_balance_ratio,0.0027649144
numeric__livingapartments_medi,0.0027604222
categorical__name_family_status_Single / not married,0.0027575563
numeric__pos_cash_dpd_count,0.002750586
numeric__bureau_min_days_credit,0.0027500123
numeric__flag_email,0.0027435399
numeric__installment_max_payment_ratio,0.0027306527
categorical__organization_type_Business Entity Type 3,0.0027276168
numeric__entrances_avg,0.0027275898
numeric__pos_cash_dpd_def_count,0.0027172144
numeric__bureau_credit_type_count,0.002715968
numeric__apartments_avg,0.0027145755
categorical__name_education_type_Lower secondary,0.002700872
numeric__elevators_avg,0.0026829387
numeric__elevators_medi,0.0026820123
categorical__name_family_status_Widow,0.0026819888
numeric__previous_total_applications,0.0026808486
numeric__previous_unused_offer_count,0.002673453
numeric__pos_cash_avg_dpd,0.0026732078
numeric__amt_income_total,0.0026721738
categorical__organization_type_Police,0.0026664487
numeric__reg_region_not_live_region,0.002651925
numeric__bureau_total_accounts,0.002651622
categorical__name_income_type_Commercial associate,0.0026509692
numeric__installment_avg_amount,0.0026428269
numeric__basementarea_medi,0.002629603
numeric__cnt_fam_members,0.0026127924
categorical__occupation_type_Security staff,0.0026123617
numeric__previous_max_credit_amount,0.0026100425
numeric__entrances_mode,0.0025853096
numeric__landarea_medi,0.0025805184
numeric__bureau_max_overdue,0.002577648
numeric__credit_card_max_limit,0.0025732548
categorical__occupation_type_Cooking staff,0.0025543664
numeric__pos_cash_dpd_rate,0.0025504653
categorical__organization_type_Kindergarten,0.0025470182
numeric__pos_cash_completed_count,0.002536869
categorical__organization_type_Industry: type 1,0.0025346759
numeric__installment_avg_payment_delay,0.002533589
categorical__organization_type_Medicine,0.0025328987
numeric__years_build_avg,0.0025220353
categorical__fondkapremont_mode_reg oper account,0.0025211687
numeric__nonlivingarea_mode,0.0025088731
numeric__days_registration,0.00250759
numeric__nonlivingarea_avg,0.0024954248
categorical__housetype_mode_specific housing,0.0024901794
numeric__commonarea_medi,0.0024889756
numeric__commonarea_mode,0.0024886355
numeric__amt_req_credit_bureau_year,0.002485704
numeric__obs_30_cnt_social_circle,0.0024574935
numeric__previous_approved_count,0.0024553058
numeric__installment_min_payment_delay,0.0024508073
numeric__pos_cash_max_dpd,0.0024249463
numeric__nonlivingarea_medi,0.0024035268
numeric__nonlivingapartments_mode,0.0023739566
numeric__previous_client_type_count,0.0023734448
categorical__organization_type_Industry: type 7,0.0023653046
categorical__name_housing_type_Office apartment,0.0023591584
categorical__name_housing_type_Co-op apartment,0.0023586208
numeric__commonarea_avg,0.0023456453
categorical__name_education_type_Incomplete higher,0.002322707
numeric__previous_avg_application_amount,0.0022975882
numeric__years_build_medi,0.0022968457
categorical__occupation_type_Managers,0.0022952692
numeric__landarea_avg,0.002290591
numeric__landarea_mode,0.0022800528
numeric__hour_appr_process_start,0.0022791086
numeric__flag_document_8,0.0022751747
numeric__credit_card_avg_dpd,0.0022504197
numeric__nonlivingapartments_avg,0.002245227
categorical__wallsmaterial_mode_Block,0.0022451556
numeric__basementarea_avg,0.00224075
categorical__wallsmaterial_mode_Unknown,0.0022376957
numeric__amt_req_credit_bureau_mon,0.0022144087
numeric__livingapartments_mode,0.0022083598
numeric__previous_canceled_count,0.0021952002
numeric__flag_document_6,0.002188856
numeric__live_city_not_work_city,0.0021864024
numeric__previous_avg_credit_amount,0.0021832727
numeric__basementarea_mode,0.002173732
numeric__credit_card_avg_payment,0.0021619168
categorical__flag_own_realty_N,0.002158893
categorical__name_type_suite_Other_B,0.0021547899
categorical__occupation_type_Cleaning staff,0.0021517398
categorical__name_type_suite_Family,0.0021341965
categorical__organization_type_Business Entity Type 1,0.0021265433
