feature,mean_absolute_shap
numeric__ext_source_3,0.36564058
numeric__ext_source_2,0.35259202
numeric__amt_goods_price,0.14014882
numeric__ext_source_1,0.13248655
numeric__amt_credit,0.11144418
numeric__days_employed,0.09755401
numeric__days_birth,0.07638892
categorical__name_education_type_Higher education,0.07573761
categorical__code_gender_M,0.07189282
numeric__amt_annuity,0.07026184
categorical__flag_own_car_N,0.05737372
numeric__days_id_publish,0.050635282
categorical__name_family_status_Married,0.047842786
categorical__code_gender_F,0.043281022
numeric__flag_document_3,0.043238755
numeric__days_last_phone_change,0.043126993
numeric__own_car_age,0.0400937
categorical__name_contract_type_Cash loans,0.037175566
categorical__name_income_type_Working,0.03614525
numeric__amt_req_credit_bureau_qrt,0.027653536
numeric__region_rating_client_w_city,0.026070785
numeric__def_30_cnt_social_circle,0.022426592
numeric__amt_req_credit_bureau_year,0.021171635
categorical__name_education_type_Secondary / secondary special,0.020406665
numeric__flag_work_phone,0.015814064
categorical__organization_type_Self-employed,0.015150372
categorical__wallsmaterial_mode_Panel,0.013335845
categorical__occupation_type_Core staff,0.0123300655
numeric__reg_city_not_live_city,0.0122514935
numeric__def_60_cnt_social_circle,0.0112244
numeric__days_registration,0.011089828
numeric__region_population_relative,0.009989268
numeric__hour_appr_process_start,0.007508267
categorical__occupation_type_Laborers,0.0074902405
categorical__occupation_type_Drivers,0.0074748253
numeric__floorsmax_avg,0.007407021
numeric__flag_phone,0.0073853685
categorical__organization_type_Business Entity Type 3,0.007378006
categorical__name_income_type_State servant,0.00689924
numeric__flag_document_16,0.0059262053
numeric__amt_income_total,0.0058764685
numeric__years_beginexpluatation_mode,0.0052064834
categorical__name_income_type_Pensioner,0.005010601
categorical__organization_type_Construction,0.0041428735
numeric__flag_document_18,0.00400049
categorical__organization_type_Industry: type 9,0.0034122597
numeric__reg_city_not_work_city,0.0033426739
numeric__obs_60_cnt_social_circle,0.0031578408
categorical__occupation_type_Accountants,0.0029327506
numeric__totalarea_mode,0.0028843149
categorical__organization_type_Military,0.0028541384
numeric__nonlivingarea_mode,0.0028290562
numeric__basementarea_avg,0.002797588
numeric__flag_emp_phone,0.0027252468
numeric__entrances_medi,0.0026387635
categorical__name_housing_type_House / apartment,0.002448435
numeric__floorsmax_mode,0.0024338341
numeric__years_beginexpluatation_medi,0.0022794027
categorical__organization_type_School,0.0022784472
numeric__landarea_mode,0.0022040093
numeric__livingapartments_avg,0.002203831
numeric__livingarea_medi,0.0021808527
numeric__amt_req_credit_bureau_mon,0.0021316418
numeric__years_beginexpluatation_avg,0.0019441835
numeric__floorsmax_medi,0.0018928783
numeric__apartments_avg,0.0018191475
categorical__name_housing_type_Municipal apartment,0.00181058
numeric__nonlivingarea_medi,0.0017558803
categorical__emergencystate_mode_No,0.0017252938
categorical__organization_type_Transport: type 3,0.0017212547
numeric__years_build_mode,0.0016436758
numeric__entrances_avg,0.0015862947
numeric__cnt_fam_members,0.0015687994
numeric__landarea_medi,0.0015510332
numeric__flag_document_13,0.0015289128
categorical__organization_type_Bank,0.0015186486
numeric__obs_30_cnt_social_circle,0.0015133314
categorical__flag_own_realty_N,0.0014595786
numeric__basementarea_mode,0.0013952699
numeric__livingapartments_medi,0.0013246406
numeric__commonarea_medi,0.0012704828
numeric__landarea_avg,0.0012248912
numeric__livingarea_mode,0.0012217567
numeric__nonlivingarea_avg,0.0012163008
categorical__weekday_appr_process_start_SATURDAY,0.0011572602
numeric__years_build_avg,0.0011254719
numeric__amt_req_credit_bureau_week,0.0010775578
categorical__name_family_status_Single / not married,0.0010693168
numeric__cnt_children,0.0010616742
categorical__occupation_type_Low-skill Laborers,0.0010493892
numeric__elevators_avg,0.0010437977
numeric__region_rating_client,0.0010154891
numeric__apartments_mode,0.0010089558
categorical__fondkapremont_mode_Unknown,0.0010038347
categorical__name_family_status_Civil marriage,0.0010006514
numeric__livingarea_avg,0.0009871053
categorical__organization_type_Security Ministries,0.00082187774
numeric__flag_document_11,0.0008139441
categorical__occupation_type_High skill tech staff,0.0008083733
numeric__flag_document_8,0.00078524865
categorical__name_education_type_Incomplete higher,0.0007563252
numeric__commonarea_avg,0.00070983556
categorical__weekday_appr_process_start_WEDNESDAY,0.00070560013
categorical__name_housing_type_Rented apartment,0.0006889666
numeric__commonarea_mode,0.0006866344
numeric__basementarea_medi,0.000667068
numeric__flag_document_14,0.00065688096
numeric__floorsmin_avg,0.0006102583
categorical__name_education_type_Lower secondary,0.0005877807
numeric__apartments_medi,0.00057124015
categorical__name_family_status_Widow,0.0005298862
categorical__organization_type_Trade: type 2,0.00052766345
categorical__name_type_suite_Unknown,0.000524091
numeric__nonlivingapartments_avg,0.00051227986
categorical__name_type_suite_Unaccompanied,0.0004940014
numeric__livingapartments_mode,0.00047774994
categorical__organization_type_Government,0.00045699035
categorical__fondkapremont_mode_reg oper spec account,0.0004412854
categorical__weekday_appr_process_start_SUNDAY,0.00043974636
numeric__nonlivingapartments_mode,0.00043039588
categorical__weekday_appr_process_start_TUESDAY,0.0004142865
categorical__occupation_type_Unknown,0.00037784045
categorical__name_education_type_Academic degree,0.00036102312
categorical__organization_type_Police,0.00034868653
numeric__amt_req_credit_bureau_day,0.00033662454
categorical__housetype_mode_block of flats,0.00033288889
categorical__name_type_suite_Family,0.00030513966
numeric__floorsmin_mode,0.000269563
numeric__live_region_not_work_region,0.00025013328
numeric__entrances_mode,0.00024526686
categorical__occupation_type_Cleaning staff,0.00023640096
categorical__emergencystate_mode_Unknown,0.00023121138
numeric__flag_document_15,0.00023093623
categorical__organization_type_Medicine,0.00022033071
categorical__weekday_appr_process_start_THURSDAY,0.00021402504
numeric__years_build_medi,0.00020795476
categorical__organization_type_Kindergarten,0.00020417258
categorical__name_family_status_Separated,0.00019968409
categorical__organization_type_Realtor,0.00017261556
categorical__name_housing_type_Office apartment,0.00016917153
categorical__weekday_appr_process_start_MONDAY,0.00016765183
numeric__elevators_medi,0.00016256332
categorical__occupation_type_Sales staff,0.00015746284
categorical__name_type_suite_Other_B,0.00014956783
categorical__fondkapremont_mode_not specified,0.00014950833
categorical__organization_type_Trade: type 7,0.00013752884
"categorical__wallsmaterial_mode_Stone, brick",0.00013636446
numeric__nonlivingapartments_medi,0.00013534667
categorical__fondkapremont_mode_org spec account,0.00013067544
categorical__occupation_type_Waiters/barmen staff,0.00011726054
categorical__occupation_type_Private service staff,0.00010210874
categorical__organization_type_Business Entity Type 1,0.00010035509
categorical__name_housing_type_With parents,9.8527635e-05
categorical__name_income_type_Commercial associate,6.594556e-05
numeric__flag_document_5,6.587194e-05
categorical__occupation_type_Medicine staff,6.0326183e-05
categorical__organization_type_Other,6.0105e-05
categorical__organization_type_Industry: type 3,5.490737e-05
numeric__live_city_not_work_city,5.2143678e-05
