feature,mean_absolute_shap
ext_source_3,0.36564058
ext_source_2,0.35259202
amt_goods_price,0.14014882
ext_source_1,0.13248655
amt_credit,0.11144418
days_employed,0.09755401
days_birth,0.07638892
name_education_type_Higher education,0.07573761
code_gender_M,0.07189282
amt_annuity,0.07026184
flag_own_car_N,0.05737372
days_id_publish,0.050635282
name_family_status_Married,0.047842786
code_gender_F,0.043281022
flag_document_3,0.043238755
days_last_phone_change,0.043126993
own_car_age,0.0400937
name_contract_type_Cash loans,0.037175566
name_income_type_Working,0.03614525
amt_req_credit_bureau_qrt,0.027653536
region_rating_client_w_city,0.026070785
def_30_cnt_social_circle,0.022426592
amt_req_credit_bureau_year,0.021171635
name_education_type_Secondary / secondary special,0.020406665
flag_work_phone,0.015814064
organization_type_Self-employed,0.015150372
wallsmaterial_mode_Panel,0.013335845
occupation_type_Core staff,0.0123300655
reg_city_not_live_city,0.0122514935
def_60_cnt_social_circle,0.0112244
days_registration,0.011089828
region_population_relative,0.009989268
hour_appr_process_start,0.007508267
occupation_type_Laborers,0.0074902405
occupation_type_Drivers,0.0074748253
floorsmax_avg,0.007407021
flag_phone,0.0073853685
organization_type_Business Entity Type 3,0.007378006
name_income_type_State servant,0.00689924
flag_document_16,0.0059262053
amt_income_total,0.0058764685
years_beginexpluatation_mode,0.0052064834
name_income_type_Pensioner,0.005010601
organization_type_Construction,0.0041428735
flag_document_18,0.00400049
organization_type_Industry: type 9,0.0034122597
reg_city_not_work_city,0.0033426739
obs_60_cnt_social_circle,0.0031578408
occupation_type_Accountants,0.0029327506
totalarea_mode,0.0028843149
organization_type_Military,0.0028541384
nonlivingarea_mode,0.0028290562
basementarea_avg,0.002797588
flag_emp_phone,0.0027252468
entrances_medi,0.0026387635
name_housing_type_House / apartment,0.002448435
floorsmax_mode,0.0024338341
years_beginexpluatation_medi,0.0022794027
organization_type_School,0.0022784472
landarea_mode,0.0022040093
livingapartments_avg,0.002203831
livingarea_medi,0.0021808527
amt_req_credit_bureau_mon,0.0021316418
years_beginexpluatation_avg,0.0019441835
floorsmax_medi,0.0018928783
apartments_avg,0.0018191475
name_housing_type_Municipal apartment,0.00181058
nonlivingarea_medi,0.0017558803
emergencystate_mode_No,0.0017252938
organization_type_Transport: type 3,0.0017212547
years_build_mode,0.0016436758
entrances_avg,0.0015862947
cnt_fam_members,0.0015687994
landarea_medi,0.0015510332
flag_document_13,0.0015289128
organization_type_Bank,0.0015186486
obs_30_cnt_social_circle,0.0015133314
flag_own_realty_N,0.0014595786
basementarea_mode,0.0013952699
livingapartments_medi,0.0013246406
commonarea_medi,0.0012704828
landarea_avg,0.0012248912
livingarea_mode,0.0012217567
nonlivingarea_avg,0.0012163008
weekday_appr_process_start_SATURDAY,0.0011572602
years_build_avg,0.0011254719
amt_req_credit_bureau_week,0.0010775578
name_family_status_Single / not married,0.0010693168
cnt_children,0.0010616742
occupation_type_Low-skill Laborers,0.0010493892
elevators_avg,0.0010437977
region_rating_client,0.0010154891
apartments_mode,0.0010089558
fondkapremont_mode_Unknown,0.0010038347
name_family_status_Civil marriage,0.0010006514
livingarea_avg,0.0009871053
organization_type_Security Ministries,0.00082187774
flag_document_11,0.0008139441
occupation_type_High skill tech staff,0.0008083733
flag_document_8,0.00078524865
name_education_type_Incomplete higher,0.0007563252
commonarea_avg,0.00070983556
weekday_appr_process_start_WEDNESDAY,0.00070560013
name_housing_type_Rented apartment,0.0006889666
commonarea_mode,0.0006866344
basementarea_medi,0.000667068
flag_document_14,0.00065688096
floorsmin_avg,0.0006102583
name_education_type_Lower secondary,0.0005877807
apartments_medi,0.00057124015
name_family_status_Widow,0.0005298862
organization_type_Trade: type 2,0.00052766345
name_type_suite_Unknown,0.000524091
nonlivingapartments_avg,0.00051227986
name_type_suite_Unaccompanied,0.0004940014
livingapartments_mode,0.00047774994
organization_type_Government,0.00045699035
fondkapremont_mode_reg oper spec account,0.0004412854
weekday_appr_process_start_SUNDAY,0.00043974636
nonlivingapartments_mode,0.00043039588
weekday_appr_process_start_TUESDAY,0.0004142865
occupation_type_Unknown,0.00037784045
name_education_type_Academic degree,0.00036102312
organization_type_Police,0.00034868653
amt_req_credit_bureau_day,0.00033662454
housetype_mode_block of flats,0.00033288889
name_type_suite_Family,0.00030513966
floorsmin_mode,0.000269563
live_region_not_work_region,0.00025013328
entrances_mode,0.00024526686
occupation_type_Cleaning staff,0.00023640096
emergencystate_mode_Unknown,0.00023121138
flag_document_15,0.00023093623
organization_type_Medicine,0.00022033071
weekday_appr_process_start_THURSDAY,0.00021402504
years_build_medi,0.00020795476
organization_type_Kindergarten,0.00020417258
name_family_status_Separated,0.00019968409
organization_type_Realtor,0.00017261556
name_housing_type_Office apartment,0.00016917153
weekday_appr_process_start_MONDAY,0.00016765183
elevators_medi,0.00016256332
occupation_type_Sales staff,0.00015746284
name_type_suite_Other_B,0.00014956783
fondkapremont_mode_not specified,0.00014950833
organization_type_Trade: type 7,0.00013752884
"wallsmaterial_mode_Stone, brick",0.00013636446
nonlivingapartments_medi,0.00013534667
fondkapremont_mode_org spec account,0.00013067544
occupation_type_Waiters/barmen staff,0.00011726054
occupation_type_Private service staff,0.00010210874
organization_type_Business Entity Type 1,0.00010035509
name_housing_type_With parents,9.8527635e-05
name_income_type_Commercial associate,6.594556e-05
flag_document_5,6.587194e-05
occupation_type_Medicine staff,6.0326183e-05
organization_type_Other,6.0105e-05
organization_type_Industry: type 3,5.490737e-05
live_city_not_work_city,5.2143678e-05
floorsmin_medi,4.777593e-05
organization_type_Trade: type 3,3.9698727e-05
name_type_suite_Other_A,3.3712393e-05
reg_region_not_work_region,3.1788626e-05
housetype_mode_terraced house,2.7338181e-05
organization_type_Security,2.6236785e-05
organization_type_Culture,2.451002e-05
elevators_mode,2.3909832e-05
organization_type_Emergency,2.1178605e-05
organization_type_Insurance,2.0214078e-05
wallsmaterial_mode_Others,1.9516188e-05
name_type_suite_Children,1.6026961e-05
occupation_type_HR staff,1.5340273e-05
occupation_type_Managers,1.439948e-05
occupation_type_Security staff,1.35842165e-05
organization_type_Industry: type 4,1.2957528e-05
name_housing_type_Co-op apartment,1.2598987e-05
organization_type_Business Entity Type 2,1.2330339e-05
name_income_type_Unemployed,1.2042036e-05
organization_type_Legal Services,8.865469e-06
organization_type_Industry: type 1,8.680956e-06
organization_type_Industry: type 10,8.168164e-06
weekday_appr_process_start_FRIDAY,7.011912e-06
flag_document_6,6.7522915e-06
flag_mobil,0.0
reg_region_not_live_region,0.0
flag_email,0.0
name_income_type_Businessman,0.0
"name_type_suite_Spouse, partner",0.0
name_type_suite_Group of people,0.0
flag_own_realty_Y,0.0
flag_own_car_Y,0.0
code_gender_XNA,0.0
amt_req_credit_bureau_hour,0.0
name_contract_type_Revolving loans,0.0
flag_document_21,0.0
flag_document_20,0.0
flag_document_19,0.0
flag_document_17,0.0
flag_document_9,0.0
flag_document_7,0.0
flag_document_10,0.0
flag_document_12,0.0
flag_document_4,0.0
flag_document_2,0.0
flag_cont_mobile,0.0
organization_type_Housing,0.0
organization_type_Agriculture,0.0
organization_type_Hotel,0.0
organization_type_Cleaning,0.0
organization_type_Electricity,0.0
name_income_type_Maternity leave,0.0
name_family_status_Unknown,0.0
occupation_type_Cooking staff,0.0
name_income_type_Student,0.0
occupation_type_IT staff,0.0
organization_type_Advertising,0.0
occupation_type_Secretaries,0.0
occupation_type_Realty agents,0.0
organization_type_Trade: type 1,0.0
organization_type_Telecom,0.0
organization_type_Services,0.0
organization_type_Restaurant,0.0
organization_type_Postal,0.0
organization_type_Mobile,0.0
organization_type_Religion,0.0
organization_type_Industry: type 5,0.0
organization_type_Industry: type 13,0.0
organization_type_Industry: type 2,0.0
organization_type_Industry: type 11,0.0
organization_type_Industry: type 12,0.0
organization_type_Industry: type 8,0.0
organization_type_Industry: type 7,0.0
organization_type_Industry: type 6,0.0
organization_type_Trade: type 4,0.0
fondkapremont_mode_reg oper account,0.0
organization_type_Transport: type 4,0.0
organization_type_University,0.0
organization_type_XNA,0.0
organization_type_Trade: type 5,0.0
organization_type_Trade: type 6,0.0
organization_type_Transport: type 1,0.0
organization_type_Transport: type 2,0.0
wallsmaterial_mode_Monolithic,0.0
wallsmaterial_mode_Mixed,0.0
wallsmaterial_mode_Block,0.0
housetype_mode_specific housing,0.0
housetype_mode_Unknown,0.0
wallsmaterial_mode_Unknown,0.0
wallsmaterial_mode_Wooden,0.0
emergencystate_mode_Yes,0.0
