,correlation_with_target
ext_source_2,-0.16029475320996747
ext_source_3,-0.15589168562406075
ext_source_1,-0.09888661450126485
days_birth,0.07823930830982459
region_rating_client_w_city,0.06089266756482329
region_rating_client,0.058899014945713445
days_last_phone_change,0.05521823012584465
days_id_publish,0.05145717260705659
reg_city_not_work_city,0.05099446436812648
flag_emp_phone,0.04598221971659226
days_employed,-0.04493166265773831
reg_city_not_live_city,0.044395374805700945
flag_document_3,0.044346346851144976
days_registration,0.04197486283141728
amt_goods_price,-0.03962326045768408
floorsmax_avg,-0.03938545627344234
floorsmax_medi,-0.039157208515893306
floorsmax_mode,-0.03837708608627292
region_population_relative,-0.037227148542444743
elevators_avg,-0.03585309175037367
elevators_medi,-0.03555151443537974
elevators_mode,-0.03422022818661746
live_city_not_work_city,0.03251834110149831
def_30_cnt_social_circle,0.03239421508455534
def_60_cnt_social_circle,0.03140052988503033
amt_credit,-0.03036928646142988
totalarea_mode,-0.030213971215774064
livingarea_avg,-0.029463532577547878
livingarea_medi,-0.029359203627170476
flag_document_6,-0.02860189397306156
flag_work_phone,0.028524322363216906
livingarea_mode,-0.027883747174647883
apartments_medi,-0.026841125938825774
apartments_avg,-0.0267338330757482
apartments_mode,-0.025418444742105223
hour_appr_process_start,-0.02416583143009371
flag_phone,-0.023806272330357217
floorsmin_avg,-0.021158335968406432
floorsmin_medi,-0.02099542652685549
floorsmin_mode,-0.020147305718976573
livingapartments_avg,-0.019262000110591832
cnt_children,0.01918713359627062
livingapartments_medi,-0.019138024052427243
livingapartments_mode,-0.018828817397828917
nonlivingarea_avg,-0.018186779401862824
nonlivingarea_medi,-0.018094236688153326
nonlivingarea_mode,-0.01798362514045888
basementarea_avg,-0.017633674025996166
basementarea_medi,-0.017254618754853377
commonarea_medi,-0.01626638862451629
commonarea_avg,-0.016193646547764118
basementarea_mode,-0.016136397809288855
entrances_avg,-0.015983991267506638
own_car_age,0.015981596247904142
entrances_medi,-0.015734061243239172
commonarea_mode,-0.015238432576849863
amt_req_credit_bureau_mon,-0.014793717931465382
entrances_mode,-0.013515122934242715
amt_annuity,-0.01281477396303296
landarea_medi,-0.012269167906137366
amt_req_credit_bureau_year,0.012161226373040462
landarea_avg,-0.012046989614053172
landarea_mode,-0.011859599552706428
flag_document_16,-0.011614671588293178
flag_document_13,-0.01158322234141947
years_build_medi,-0.011363622134065273
years_build_avg,-0.011281258438957085
years_build_mode,-0.010647660203175794
flag_document_14,-0.009463821935576941
obs_30_cnt_social_circle,0.009446606975851753
obs_60_cnt_social_circle,0.009337242924071046
cnt_fam_members,0.00930810398865796
flag_document_8,-0.00804038446605664
flag_document_18,-0.007952385099462259
reg_region_not_work_region,0.006941907545371869
flag_document_15,-0.006535657584094894
nonlivingapartments_avg,-0.0059099601184837355
amt_req_credit_bureau_qrt,-0.005833139253934121
nonlivingapartments_medi,-0.0056495785788008126
reg_region_not_live_region,0.005575944520908343
flag_document_2,0.005417144279619328
years_beginexpluatation_medi,-0.0048716494079807
nonlivingapartments_mode,-0.004858642164702394
years_beginexpluatation_avg,-0.004664823100134864
flag_document_9,-0.004352408580842042
flag_document_11,-0.004229349652160023
years_beginexpluatation_mode,-0.004061177278194223
amt_income_total,-0.003981865601205793
flag_document_21,0.003708625029306583
flag_document_17,-0.0033775691474138337
live_region_not_work_region,0.002819479184159081
flag_document_4,-0.0026720821701620937
sk_id_curr,-0.0021084690181960766
flag_email,-0.0017583834312544816
amt_req_credit_bureau_day,0.0017010739175680593
flag_document_7,-0.0015195031600879073
flag_document_10,-0.0014138915975241474
flag_document_19,-0.001357518324300817
amt_req_credit_bureau_week,-0.00130566953158277
flag_document_12,-0.0007557507043578883
flag_mobil,0.0005343955790422479
flag_cont_mobile,0.00037012680234920295
flag_document_5,-0.00031577741664638075
flag_document_20,0.00021539355797734155
amt_req_credit_bureau_hour,-7.362711830898368e-05
